"time","Q_m3pd"
2023-02-17,1823.47828754655
2023-02-18,1276.43480128259
2023-02-19,893.50436089781
2023-02-20,625.453052628467
2023-02-21,437.817136839927
2023-02-22,306.471995787949
2023-02-23,214.530397051564
2023-02-24,150.171277936095
2023-02-25,105.119894555266
2023-02-26,73.5839261886865
2023-02-27,51.5087483320806
2023-02-28,36.0561238324564
2023-03-01,25.2392866827195
2023-03-02,17.6675006779036
2023-03-03,156.264697880917
2023-03-04,581.162908393404
2023-03-05,406.814035875383
2023-03-06,284.769825112768
2023-03-07,199.338877578938
2023-03-08,139.537214305256
2023-03-09,97.6760500136794
2023-03-10,68.3732350095756
2023-03-11,47.8612645067029
2023-03-12,33.502885154692
2023-03-13,23.4520196082844
2023-03-14,16.4164137257991
2023-03-15,11.4914896080594
2023-03-16,8.04404272564156
2023-03-17,5.63082990794909
2023-03-18,3.94158093556436
2023-03-19,2.75910665489505
2023-03-20,1.93137465842654
2023-03-21,1.35196226089858
2023-03-22,0.946373582629003
2023-03-23,0.662461507840302
2023-03-24,0.463723055488212
2023-03-25,0.324606138841748
2023-03-26,0.227224297189224
2023-03-27,0.159057008032457
2023-03-28,0.11133990562272
2023-03-29,0.0779379339359037
2023-03-30,0.0545565537551326
2023-03-31,490.020919699147
2023-04-01,1107.19713863683
2023-04-02,775.037997045779
2023-04-03,542.526597932045
2023-04-04,379.768618552432
2023-04-05,265.838032986702
2023-04-06,186.086623090692
2023-04-07,1451.15760764833
2023-04-08,1015.81032535383
2023-04-09,711.06722774768
2023-04-10,497.747059423376
2023-04-11,348.422941596363
2023-04-12,243.896059117454
2023-04-13,170.727241382218
2023-04-14,119.509068967553
2023-04-15,83.6563482772868
2023-04-16,58.5594437941007
2023-04-17,40.9916106558705
2023-04-18,28.6941274591094
2023-04-19,20.0858892213766
2023-04-20,14.0601224549636
2023-04-21,9.84208571847451
2023-04-22,628.479711966799
2023-04-23,439.93579837676
2023-04-24,307.955058863732
2023-04-25,215.568541204612
2023-04-26,150.897978843229
2023-04-27,105.62858519026
2023-04-28,6045.46225765082
2023-04-29,4231.82358035557
2023-04-30,2962.2765062489
2023-05-01,2073.59355437423
2023-05-02,1451.51548806196
2023-05-03,1016.06084164337
2023-05-04,711.242589150361
2023-05-05,497.869812405253
2023-05-06,348.508868683677
2023-05-07,243.956208078574
2023-05-08,170.769345655002
2023-05-09,119.538541958501
2023-05-10,83.6769793709509
2023-05-11,58.5738855596656
2023-05-12,41.0017198917659
2023-05-13,35.2943665290437
2023-05-14,24.7060565703306
2023-05-15,17.2942395992314
2023-05-16,12.105967719462
2023-05-17,8.47417740362338
2023-05-18,5.93192418253637
2023-05-19,4.15234692777546
2023-05-20,2.90664284944282
2023-05-21,2.03464999460997
2023-05-22,1.42425499622698
2023-05-23,0.996978497358887
2023-05-24,0.697884948151221
2023-05-25,0.488519463705855
2023-05-26,0.341963624594098
2023-05-27,0.239374537215869
2023-05-28,0.167562176051108
2023-05-29,782.217957916719
2023-05-30,547.552570541704
2023-05-31,383.286799379192
2023-06-01,268.300759565435
